Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.59320595,18.30468737,10.06693198,0.134479696,2.813434652,1.111855606,0.49219478,2.75152351,-0.292643138,-2.733864298,2.978396644,-0.487159558,-0.125965726,6.519223766,3.212405688,-1.628099152,-0.033839442,5.026911516,-2.930823494,-0.6732577,2.322677579,1.061772352,-12.27493628,-2.95695265,2.610525059,-2.484647977,4.855279431,-2.62961536,-1.63575345,0.951537825,7.040657465,2.234428765,-2.496550426,-25.79322942,25.15496385,8.912308079,4.21613214,
Africa Eastern and Southern,AFE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-2.132939568,5.008777477,2.794385539,1.829574928,2.245804973,1.917421739,2.418486018,1.185891947,2.09868221,-1.744356728,2.47783294,-0.109085829,1.595522195,2.384204428,-1.515703301,-0.561446154,-1.700556382,-1.481102974,-0.240395345,2.348425665,0.846006708,-2.859268697,-3.045975957,0.276256217,-3.09035236,-0.744035845,0.88547125,1.288819066,-0.164985161,-2.65495567,-2.806080281,-4.913861835,-3.314556702,-0.742939093,1.61005564,2.701419997,1.213707699,-0.849750123,-0.008093812,0.567873189,0.8604843,1.161069267,0.291535064,2.802862429,3.377371362,3.76971707,3.814874102,1.56197572,-1.831565959,2.369984905,1.302500423,-0.936576677,1.489854297,1.239381741,0.262663002,-0.467420825,0.018464181,-0.104064111,-0.543714732,-5.447021132,1.829597322,0.90533014,-0.645083898,0.256613278
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.11948411,22.02019027,2.345671636,-2.148212285,7.383377282,1.132485055,11.69230329,1.677279156,17.04389632,11.05503055,-3.213295006,8.279368993,2.052068261,-0.939984756,-1.665057447,-0.300121027,-0.195569548,-1.713742693,0.856294729,-5.382514642,-22.58448187,-7.576668912,0.106092801,
Africa Western and Central,AFW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-0.251141817,1.538395941,4.74144564,3.087620198,1.823720215,-3.703506822,-11.00581813,-0.751911406,12.46264926,14.61059851,7.815939198,0.655532879,1.363580482,7.153789726,-4.663005513,5.525853002,1.748342578,-4.620383965,2.070522227,-0.939980943,-9.319757996,-5.991379078,-8.779394917,-2.072619936,2.552219325,-1.401310522,-1.309580785,1.842088783,-1.053577057,2.921001312,-1.568985088,-0.431975611,-3.991016351,-2.895473852,-0.876447124,1.820973396,1.60252624,0.800823074,-1.207679956,1.024380932,2.300519549,6.920866409,2.667399728,5.079982243,2.946940217,2.419436237,2.566700158,3.314737356,3.203099985,4.090238082,2.025590773,2.256631897,3.171412641,2.865220929,0.186777383,-2.448450744,-0.355460041,0.330192195,0.792526324,-3.321744629,1.599745709,1.578046199,0.920848216,1.707193462
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-7.819537671,-3.611216996,0.398925562,2.143506851,-0.238221364,-0.756799921,0.529253267,2.577679019,-3.316708774,-6.670526973,-2.344652711,-8.871345191,-26.37419588,-1.893068011,11.22244903,9.768938152,3.692910151,1.245331726,-1.130798779,-0.302928309,0.769184668,9.857802363,-0.545677505,7.032772669,10.91124363,7.514314915,9.821943828,7.048035489,-2.902289336,0.454324006,-0.473683326,4.407587059,0.990675719,0.981943968,-2.630701832,-6.002648683,-3.620757682,-4.665969917,-4.010017337,-8.672076174,-1.969590687,-0.143628268,-1.988293313,1.292930656
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,3.648648547,0.795840071,-1.016802172,-3.307497202,-0.290595348,3.614655544,-2.749496379,-3.262522334,6.923617285,-11.1879053,-27.56682083,-6.622551207,10.22994934,8.969761659,14.02449594,8.005513844,-11.15766053,8.993806823,12.96392688,8.149967935,9.890193571,4.942622963,5.728105981,5.707123084,5.67025028,6.689981397,7.307982629,7.730561614,3.385115395,3.485648086,2.739532557,1.151044013,1.89373834,2.452131572,2.525830935,4.075198423,3.378211536,3.927525709,2.498299447,-2.756980235,9.98433058,6.108947895,5.137123553,5.162521915
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,-2.500589058,1.012623632,0.905266181,-0.876786145,-5.405687749,-2.532406651,-2.654393978,-3.614024247,-4.539719708,-2.007360979,-3.859135363,-2.919468733,-2.748259222,-2.327825921,-1.302134885,-1.056613698,1.29670923,1.344907037,2.333716428,-0.119515605,-4.819169045,-4.994090166,-5.83663169,0.259838841,3.882959291,4.531978271,7.860678957,2.118367938,3.579454848,3.567765711,7.845168134,3.518284734,4.032707486,1.095400014,1.183027687,1.958830028,-1.289611512,-7.389298788,-5.746485459,1.889880843,3.749517536,-3.800754298,-1.443945404,4.529893817,3.630797937,3.699620468,-1.806057033,-0.302119304,0.265352821,-12.22383849,6.927044852,7.721238001,1.123259079,2.006784451
Arab World,ARB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,3.801321148,7.643215521,4.387700513,19.45526609,4.47043157,10.74875601,10.04284838,7.296689033,-3.060190774,10.73285916,3.32473193,-0.395516113,6.83646659,2.679833685,-2.326241678,-8.859361994,-6.744196073,-1.882507807,-3.847808567,-3.772177992,-2.694599894,0.450816902,1.078540767,4.368706514,-2.961746501,3.868231592,0.426411075,0.56213748,0.239123823,2.291927022,2.94280835,2.256936931,0.345002164,3.80851584,-0.350194374,-1.172914196,1.886783928,6.566776598,3.094647061,3.742829198,2.000825484,2.915831496,-1.814772992,2.76677366,1.418897813,2.622699606,0.053582125,0.211863763,0.786178975,1.177005715,-0.413328595,0.8343046,-0.169697469,-6.739136927,2.835410187,4.565307903,-0.75981275,-0.610337907
United Arab Emirates,ARE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,16.83943175,21.0226998,55.82352932,2.163481571,-4.294249188,2.71277066,5.307528509,-13.63623517,7.301788005,11.22874221,-3.34878166,-12.03886717,-10.06138799,-1.613282123,-8.626008468,-20.14346691,-3.635673716,-8.846061299,5.555444282,11.57266451,-4.588784978,-1.937999971,-3.631360916,2.024915268,2.022152151,-0.836570707,-0.251832471,-7.064295445,-4.205392179,3.631932803,-4.864577328,-3.604506378,2.685563312,3.715510693,-0.445687773,2.287443031,-8.107649862,-7.909351662,-10.95618603,-0.804617485,2.707248504,-2.127987227,0.937160701,-0.570027636,1.18960692,0.483038735,-2.411856071,-0.024508823,0.047746018,-4.504667625,2.457174573,2.176083438,-0.421510863,0.010374174
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.697198142,-2.481211956,-6.851643196,8.371062335,8.853455746,-2.169542718,1.629722992,3.230850808,8.00868539,1.450585236,4.007823332,0.032008915,1.162903576,3.812252247,-1.623206186,-3.539953348,5.254065547,-6.020787796,8.476652165,-0.085639703,-6.696558857,-2.315359754,2.690838016,-0.033820922,-6.668386606,4.515050971,1.13014295,-2.611124783,-8.56786939,-3.911192293,7.575135073,6.453323571,6.752114948,4.427311622,-4.109935987,4.208050173,6.805821143,2.63654067,-4.493066552,-1.906841392,-5.452639033,-11.84231382,7.71839038,7.92951713,7.738981076,6.941851601,7.932610113,3.008568926,-6.910312115,8.968196729,4.881272528,-2.038325309,1.393512661,-3.51326421,1.660912538,-3.024500956,1.916396081,-3.415536839,-2.695067235,-10.33610969,10.14855999,5.048195323,-1.892949797,-2.058402754
